Information Type,Time,Bus ID,Monitor Tag/ Datarate,Unique Message ID
BUS MESSAGES,17.700000000008973,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,17.700168775008972,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,17.70017077500897,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,17.70033955000897,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,17.700341550008968,CAN_2,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
BUS MESSAGES,17.700510325008967,CAN_2,MonitorTags.CB_DONE_PROCESSING_MESSAGE,TEST STRING B
BUS DATARATE,18.0,CAN_1,0.0675
BUS DATARATE,18.0,CAN_2,0.0675
BUS DATARATE,18.0,CAN_0,0.0675
BUS MESSAGES,18.200000000009158,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,TEST STRING B
